설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자
J파크 101동 앞,대전광역시,유성구, ,대전광역시 유성구 교촌동 651 ,127.3181555,36.3037795,접이식그늘막,J파크 101동 앞,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
솔마루어린이공원,대전광역시,유성구,대전광역시 유성구 진잠로 172   (원내동),대전광역시 유성구 원내동 81 ,127.3203797,36.3041024,접이식그늘막,솔마루어린이공원,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
진잠근린공원 화장실 앞,대전광역시,유성구, ,대전광역시 유성구 원내동 389-7 ,127.3204362,36.2938558,접이식그늘막,진잠근린공원 화장실 앞,2019,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
대패장사 앞,대전광역시,유성구, ,대전광역시 유성구 대정동 320 ,127.3200768,36.313112,접이식그늘막,대패장사 앞,2019,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
샘물타운 네거리(큰 횡단보도),대전광역시,유성구, ,대전광역시 유성구 원내동 360-27 ,127.3228582,36.2999487,접이식그늘막,샘물타운 네거리(큰 횡단보도),2019,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
진잠초등학교 앞,대전광역시,유성구, ,대전광역시 유성구 원내동 772 ,127.3157612,36.2992207,접이식그늘막,진잠초등학교 앞,2020,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
샘물타운네거리,대전광역시,유성구, ,대전광역시 유성구 원내동 711 ,127.3202347,36.2997212,접이식그늘막,샘물타운네거리,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
드리움2단지 정문 건너편,대전광역시,유성구, ,대전광역시 유성구 대정동 320 ,127.3211892,36.3131238,접이식그늘막,드리움2단지 정문 건너편,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
진잠네거리 교통섬,대전광역시,유성구,대전광역시 유성구 유성대로 2   (원내동),대전광역시 유성구 원내동 402-9 ,127.323623,36.2992691,접이식그늘막,진잠네거리 교통섬,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
한밭대학교 정문 앞,대전광역시,유성구, ,대전광역시 유성구 덕명동 150-6 ,127.2977312,36.3509485,접이식그늘막,한밭대학교 정문 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
한밭대학교 정문 건너편,대전광역시,유성구, ,대전광역시 유성구 덕명동 150-6 ,127.2974353,36.3511565,접이식그늘막,한밭대학교 정문 건너편,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
오투그란데 정문 앞,대전광역시,유성구, ,대전광역시 유성구 계산동 770 ,127.303837,36.3429357,접이식그늘막,오투그란데 정문 앞,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
덕명삼거리 롯데리아 앞,대전광역시,유성구,대전광역시 유성구 동서대로 162   (덕명동),대전광역시 유성구 덕명동 154-15 ,127.2966536,36.3487671,접이식그늘막,덕명삼거리 롯데리아 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
덕명삼거리 대전은혜교회 앞,대전광역시,유성구,대전광역시 유성구 동서대로 162   (덕명동),대전광역시 유성구 덕명동 154-15 ,127.2967965,36.3490679,접이식그늘막,덕명삼거리 대전은혜교회 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
학하농협 맞은편,대전광역시,유성구, ,대전광역시 유성구 계산동 721-1 ,127.3036636,36.3426988,접이식그늘막,학하농협 맞은편,2021,3.2,5,대전광역시 유성구,042-611-2499,2024-09-20
네오미아 네거리,대전광역시,유성구, ,대전광역시 유성구 덕명동 569 ,127.3029714,36.3577743,접이식그늘막,네오미아 네거리,2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
네오미아 네거리,대전광역시,유성구, ,대전광역시 유성구 덕명동 569 ,127.3036878,36.3577957,접이식그늘막,네오미아 네거리,2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
한밭대학교 정문 앞,대전광역시,유성구, ,대전광역시 유성구 덕명동 150-6 ,127.2978442,36.3510657,접이식그늘막,한밭대학교 정문 앞,2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
유성 할인마트 옆,대전광역시,유성구,대전광역시 유성구 덕명서로2번길 38   (덕명동),대전광역시 유성구 덕명동 519-8 ,127.3030173,36.3581196,접이식그늘막,유성 할인마트 옆,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
신협중앙회 연수원앞,대전광역시,유성구, ,대전광역시 유성구 덕명동 569 ,127.3047709,36.3597687,접이식그늘막,신협중앙회 연수원앞,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
오투그란테5단지앞,대전광역시,유성구,대전광역시 유성구 학하중앙로 61   (덕명동),대전광역시 유성구 덕명동 606 ,127.3027582,36.3463589,접이식그늘막,오투그란테5단지앞,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
오토월드건너편 교통섬,대전광역시,유성구, ,대전광역시 유성구 복용동 175-3 ,127.3203404,36.3416379,접이식그늘막,오토월드건너편 교통섬,2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
유성생명과학고 앞(인삼골네거리),대전광역시,유성구,대전광역시 유성구 유성대로 600 (상대동),대전광역시 유성구 상대동 556 ,127.3303,36.3484,접이식그늘막,유성생명과학고 앞(인삼골네거리),2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
홈플러스 익스프레스 앞,대전광역시,유성구, ,대전광역시 유성구 상대동 467-1 ,127.3400145,36.345951,접이식그늘막,홈플러스 익스프레스 앞,2019,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
LG유플러스 앞,대전광역시,유성구, ,대전광역시 유성구 상대동 481-3 ,127.3400155,36.3456803,접이식그늘막,LG유플러스 앞,2019,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
상대초 정문 앞,대전광역시,유성구, ,대전광역시 유성구 상대동 493 ,127.3357036,36.3472226,접이식그늘막,상대초 정문 앞,2019,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
수지빌딩 앞,대전광역시,유성구, ,대전광역시 유성구 상대동 493 ,127.3354876,36.3483007,접이식그늘막,수지빌딩 앞,2019,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
한라비발디 311동 앞,대전광역시,유성구, ,대전광역시 유성구 상대동 493 ,127.3353993,36.3431386,접이식그늘막,한라비발디 311동 앞,2019,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
트리풀9단지 정문 앞 고려시대도로,대전광역시,유성구, ,대전광역시 유성구 상대동 484-4 ,127.335693,36.342884,접이식그늘막,트리풀9단지 정문 앞 고려시대도로,2019,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
진터네거리 교통섬(미유펫 앞),대전광역시,유성구, ,대전광역시 유성구 상대동 489 ,127.3399825,36.3482993,접이식그늘막,진터네거리 교통섬(미유펫 앞),2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
원골네거리 교통섬,대전광역시,유성구, ,대전광역시 유성구 상대동 498 ,127.3392623,36.3430984,접이식그늘막,원골네거리 교통섬,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
트리풀시티9단지 정류장(920동 앞),대전광역시,유성구, ,대전광역시 유성구 상대동 498 ,127.3380959,36.3415451,접이식그늘막,트리풀시티9단지 정류장(920동 앞),2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
상원삼거리(한라비발디 305동 앞),대전광역시,유성구, ,대전광역시 유성구 상대동 500 ,127.3326623,36.3431223,접이식그늘막,상원삼거리(한라비발디 305동 앞),2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
상원삼거리(상원초 앞),대전광역시,유성구, ,대전광역시 유성구 상대동 500 ,127.332732,36.342881,접이식그늘막,상원삼거리(상원초 앞),2021,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
트리풀9단지 정문 앞 천년근린공원,대전광역시,유성구, ,대전광역시 유성구 상대동 484-4 ,127.335492,36.342878,접이식그늘막,트리풀9단지 정문 앞 천년근린공원,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
상대네거리 교통섬(도안센트럴아이파크1단지오피스텔 쪽),대전광역시,유성구, ,대전광역시 유성구 상대동 498 ,127.3353,36.3382,접이식그늘막,상대네거리 교통섬(도안센트럴아이파크1단지오피스텔 쪽),2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
복용삼거리(대전오토월드 앞),대전광역시,유성구, ,대전광역시 유성구 복용동 189-10 ,127.3202138,36.3409854,접이식그늘막,복용삼거리(대전오토월드 앞),2022,3,4,대전광역시 유성구,042-611-2499,2024-09-20
아이파크시티1단지 109동 110동 사이 횡단보도,대전광역시,유성구, ,대전광역시 유성구 상대동 583 ,127.3303,36.3381,접이식그늘막,아이파크시티1단지 109동 110동 사이 횡단보도,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
아이파크시티2단지 205동 앞 건너편 횡단보도,대전광역시,유성구, ,대전광역시 유성구 상대동 589 ,127.3326,36.3362,스마트그늘막,아이파크시티2단지 205동 앞 건너편 횡단보도,2023,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
아이파크시티2단지 상가 CU 앞,대전광역시,유성구, ,대전광역시 유성구 상대동 589 ,127.3327,36.336,접이식그늘막,아이파크시티2단지 상가 CU 앞,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
아이파크시티2단지 정문 경비실 앞,대전광역시,유성구, ,대전광역시 유성구 상대동 589 ,127.3336,36.3434,접이식그늘막,아이파크시티2단지 정문 경비실 앞,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
중동골네거리 횡단보도,대전광역시,유성구, ,대전광역시 유성구 상대동 598 ,127.3327,36.3382,접이식그늘막,중동골네거리 횡단보도,2023,3,4,대전광역시 유성구,042-611-2499,2024-09-20
아이파크시티1단지 101동 앞 건너편 횡단보도(양촌삼거리),대전광역시,유성구, ,대전광역시 유성구 복용동 661 ,127.3282,36.3365,접이식그늘막,아이파크시티1단지 101동 앞 건너편 횡단보도(양촌삼거리),2024,3.5,4,대전광역시 유성구,042-611-2499,2024-09-20
아이파크시티2단지 201동 앞 건너편 횡단보도(양촌삼거리),대전광역시,유성구, ,대전광역시 유성구 복용동 661 ,127.3283,36.3361,접이식그늘막,아이파크시티2단지 201동 앞 건너편 횡단보도(양촌삼거리),2024,3.5,4,대전광역시 유성구,042-611-2499,2024-09-20
복용초 앞 횡단보도,대전광역시,유성구, ,대전광역시 유성구 복용동 661 ,127.3282,36.3341,접이식그늘막,복용초 앞 횡단보도,2024,3.5,4,대전광역시 유성구,042-611-2499,2024-09-20
구암역 맞은편 횡단보도 앞,대전광역시,유성구,대전광역시 유성구 유성대로 703   (구암동),대전광역시 유성구 구암동 94-5 ,127.3315308,36.3566085,접이식그늘막,구암역 맞은편 횡단보도 앞,2017,3.1,4,대전광역시 유성구,042-611-2499,2024-09-20
온천역 5번출구 앞,대전광역시,유성구,대전광역시 유성구 계룡로 지하97   (봉명동),대전광역시 유성구 봉명동 576 ,127.3413519,36.3539498,접이식그늘막,온천역 5번출구 앞,2017,3.1,4,대전광역시 유성구,042-611-2499,2024-09-20
생명과학고 맞은편,대전광역시,유성구,대전광역시 유성구 계룡로123번길 52 (봉명동),대전광역시 유성구 구암동 684 ,127.3310722,36.3487618,접이식그늘막,생명과학고 맞은편,2017,3.1,4,대전광역시 유성구,042-611-2499,2024-09-20
유성온천 네거리,대전광역시,유성구,전광역시 유성구 온천로 89 (봉명동),대전광역시 유성구 봉명동 574 ,127.3424331,36.3555587,접이식그늘막,유성온천 네거리,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
구암평생학습원 앞,대전광역시,유성구, ,대전광역시 유성구 구암동 684 ,127.3306951,36.3487409,접이식그늘막,구암평생학습원 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
자이상가 앞,대전광역시,유성구, ,대전광역시 유성구 봉명동 529 ,127.3368779,36.3551709,접이식그늘막,자이상가 앞,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
아이마켓안경원 앞,대전광역시,유성구,대전광역시 유성구 계룡로 지하97   (봉명동),대전광역시 유성구 봉명동 551-18 ,127.3423037,36.3551464,접이식그늘막,아이마켓안경원 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
KT통신사 앞,대전광역시,유성구,대전광역시 유성구 계룡로 지하97   (봉명동),대전광역시 유성구 봉명동 552-11 ,127.3416965,36.3551776,접이식그늘막,KT통신사 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
유성온천 대온탕 앞 횡단보도,대전광역시,유성구, ,대전광역시 유성구 봉명동 574 ,127.3418166,36.3557307,접이식그늘막,유성온천 대온탕 앞 횡단보도,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
현충원 역 건너편 신호등,대전광역시,유성구, ,대전광역시 유성구 구암동 424-92 ,127.32037,36.35977,접이식그늘막,현충원 역 건너편 신호등,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
연습실스튜디오 지음 앞 횡단보도,대전광역시,유성구,"대전광역시 유성구 문화원로 77   (봉명동, 그랑펠리체)",대전광역시 유성구 봉명동 611-1 ,127.34449,36.35956,접이식그늘막,연습실스튜디오 지음 앞 횡단보도,2021,3,4,대전광역시 유성구,042-611-2499,2024-09-20
구암동 629-5,대전광역시,유성구, ,대전광역시 유성구 구암동 629-5 ,127.3267499,36.3488074,스마트그늘막,교통섬,2023,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
8번출구,대전광역시,유성구,대전광역시 유성구 계룡로 지하97   (봉명동),대전광역시 유성구 봉명동 551-11 ,127.3422369,36.3538062,스마트그늘막,8번출구,2022,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
대국건설산업,대전광역시,유성구,대전광역시 유성구 계룡로 159   (봉명동),대전광역시 유성구 봉명동 542-10 ,127.3480546,36.3522228,스마트그늘막,횡단보도,2022,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
유성구청 앞 어은교 우측사거리,대전광역시,유성구, ,대전광역시 유성구 어은동 59-12 ,127.3576172,36.3618193,접이식그늘막,유성구청 앞 어은교 우측사거리,2017,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
충남대학교 정문 앞 우축 교통섬,대전광역시,유성구, ,대전광역시 유성구 궁동 220-9 ,127.3444588,36.3623821,접이식그늘막,충남대학교 정문 앞 우축 교통섬,2017,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
충남대학교 정문 앞 좌측 교통섬,대전광역시,유성구, ,대전광역시 유성구 궁동 220-9 ,127.3450254,36.3621741,접이식그늘막,충남대학교 정문 앞 좌측 교통섬,2017,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
세븐일레븐 충남대사랑점 앞 교통섬,대전광역시,유성구, ,대전광역시 유성구 궁동 351 ,127.3443419,36.3619753,접이식그늘막,세븐일레븐 충남대사랑점 앞 교통섬,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
충남대 정문 종로유학원 앞 교통섬,대전광역시,유성구, ,대전광역시 유성구 궁동 279-10 ,127.3448183,36.3617815,접이식그늘막,충남대 정문 종로유학원 앞 교통섬,2018,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
충남대 정문 좌측 교통섬,대전광역시,유성구, ,대전광역시 유성구 궁동 279-12 ,127.344956,36.3621454,접이식그늘막,충남대 정문 좌측 교통섬,2018,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
충남대 서문 맞은편 좌측,대전광역시,유성구, ,대전광역시 유성구 죽동 772 ,127.3398586,36.3699336,접이식그늘막,충남대 서문 맞은편 좌측,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
충남대 서문 맞은편 우측,대전광역시,유성구, ,대전광역시 유성구 죽동 773 ,127.33989,36.3701395,접이식그늘막,충남대 서문 맞은편 우측,2018,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
장대네거리 교통섬,대전광역시,유성구, ,대전광역시 유성구 장대동 289 ,127.3356982,36.3604991,접이식그늘막,장대네거리 교통섬,2018,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
장대네거리 새마을금고 앞 교통섬,대전광역시,유성구, ,대전광역시 유성구 장대동 338 ,127.3356645,36.3609356,접이식그늘막,장대네거리 새마을금고 앞 교통섬,2018,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
죽동초등학교 후문 앞,대전광역시,유성구, ,대전광역시 유성구 죽동 751 ,127.3363412,36.3706971,접이식그늘막,죽동초등학교 후문 앞,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
죽동 천년나무(아) 후문 앞,대전광역시,유성구, ,대전광역시 유성구 죽동 773 ,127.3364667,36.3709233,접이식그늘막,죽동 천년나무(아) 후문 앞,2020,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
죽동 예미지(아) 정문 앞 건너편,대전광역시,유성구, ,대전광역시 유성구 죽동 750 ,127.3373374,36.3688754,접이식그늘막,죽동 예미지(아) 정문 앞 건너편,2020,3.1,3,대전광역시 유성구,042-611-2499,2024-09-20
롯데리아 앞,대전광역시,유성구, ,대전광역시 유성구 죽동 778 ,127.338322,36.3705545,접이식그늘막,롯데리아 앞,2020,3.2,4,대전광역시 유성구,042-611-2499,2024-09-20
다솔아파트 앞 인도,대전광역시,유성구, ,대전광역시 유성구 궁동 43-22 ,127.3474951,36.3614815,접이식그늘막,다솔아파트 앞 인도,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
다솔아파트 앞 건너편 인도,대전광역시,유성구, ,대전광역시 유성구 궁동 45-4 ,127.3473762,36.3613062,접이식그늘막,다솔아파트 앞 건너편 인도,2020,3.5,5,대전광역시 유성구,042-611-2499,2024-09-20
